id,account_name,hostname,domain,ip,equipment_type,os,last_update
99479,consultant,mail-server-72,services.io,145.101.90.4,сервер,Red Hat Enterprise 8,2023-11-17
20131,consultant,web-server-43,business.org,145.101.90.8,брандмауэр,Red Hat Enterprise 8,2023-11-20
98798,dbadmin,file-server-22,mycompany.ru,145.101.90.3,переключатель,Cisco IOS,2023-11-16
89533,consultant,db-server-88,example.com,145.101.90.4,брандмауэр,Ubuntu 20.04,2023-10-26
54106,admin,mail-server-50,example.com,145.101.90.3,сервер,Ubuntu 20.04,2023-11-15
40627,dbadmin,db-server-43,example.com,145.101.90.6,маршрутизатор,Ubuntu 20.04,2023-11-16
13082,operator,data-server-77,mycompany.ru,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-17
65280,consultant,web-server-88,example.com,145.101.90.2,сервер,Cisco IOS,2023-11-16
75942,user123,web-server-29,internal.net,145.101.90.2,маршрутизатор,Red Hat Enterprise 8,2023-11-20
84198,user123,web-server-96,example.com,145.101.90.1,сервер,Windows 10 Pro,2023-11-16
88347,manager,db-server-90,mycompany.ru,145.101.90.6,сервер,Red Hat Enterprise 8,2023-11-18
93809,operator,mail-server-73,services.io,145.101.90.8,брандмауэр,Cisco IOS,2023-11-16
50713,user123,data-server-32,internal.net,145.101.90.8,маршрутизатор,Windows Server 2022,2023-11-17
51542,user123,db-server-43,mycompany.ru,145.101.90.5,брандмауэр,Windows 10 Pro,2023-11-18
56812,user123,proxy-server-11,clouding.space,145.101.90.1,переключатель,Cisco IOS,2023-11-16
50945,operator,db-server-59,networking.net,145.101.90.2,сервер,Ubuntu 20.04,2023-11-14
98859,user123,web-server-97,mycompany.ru,145.101.90.10,переключатель,Ubuntu 20.04,2023-11-16
30978,user123,db-server-79,business.org,145.101.90.6,маршрутизатор,Windows 10 Pro,2023-11-18
26729,consultant,web-server-4,clouding.space,145.101.90.5,маршрутизатор,Ubuntu 20.04,2023-11-17
76697,dbadmin,mail-server-10,example.com,145.101.90.6,сервер,Ubuntu 20.04,2023-11-15
64617,user123,web-server-14,example.com,145.101.90.10,переключатель,Red Hat Enterprise 8,2023-11-13
39455,operator,web-server-98,clouding.space,145.101.90.5,маршрутизатор,Cisco IOS,2023-11-15
79041,manager,web-server-53,services.io,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-14
78072,user123,proxy-server-16,mycompany.ru,145.101.90.8,сервер,Cisco IOS,2023-11-18
11368,user123,db-server-96,internal.net,145.101.90.4,переключатель,Cisco IOS,2023-11-18
64799,user123,db-server-43,example.com,145.101.90.1,рабочая станция,Cisco IOS,2023-11-17
58318,user123,mail-server-80,internal.net,145.101.90.1,сервер,Red Hat Enterprise 8,2023-11-13
88377,user123,mail-server-90,internal.net,145.101.90.4,маршрутизатор,Ubuntu 20.04,2023-11-17
67393,user123,web-server-61,clouding.space,145.101.90.1,брандмауэр,Ubuntu 20.04,2023-11-18
70716,user123,dev-server-42,mycompany.ru,145.101.90.10,сервер,Cisco IOS,2023-11-16
61409,user123,web-server-74,example.com,145.101.90.10,сервер,Windows Server 2022,2023-11-17
34676,user123,mail-server-23,mycompany.ru,145.101.90.6,маршрутизатор,Ubuntu 20.04,2023-11-15
51229,admin,web-server-17,mycompany.ru,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-14
55113,user123,mail-server-89,business.org,145.101.90.4,сервер,Windows 10 Pro,2023-11-16
15490,admin,app-server-51,example.com,145.101.90.2,маршрутизатор,Red Hat Enterprise 8,2023-11-16
76439,manager,proxy-server-98,business.org,145.101.90.1,брандмауэр,Cisco IOS,2023-11-15
27600,user123,db-server-12,example.com,145.101.90.4,сервер,Ubuntu 20.04,2023-11-16
10944,admin,db-server-1,example.com,145.101.90.3,сервер,Windows Server 2022,2023-11-16
89215,guest,data-server-98,example.com,145.101.90.3,переключатель,Red Hat Enterprise 8,2023-11-17
85843,user123,proxy-server-3,business.org,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-17
78157,user123,data-server-17,internal.net,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-15
83588,user123,web-server-38,example.com,145.101.90.6,переключатель,Ubuntu 20.04,2023-11-17
16341,guest,app-server-9,networking.net,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-21
32917,user123,db-server-11,example.com,145.101.90.2,сервер,Windows 10 Pro,2023-11-18
63931,dbadmin,data-server-72,example.com,145.101.90.1,переключатель,Cisco IOS,2023-11-16
85230,user123,mail-server-82,internal.net,145.101.90.4,брандмауэр,Red Hat Enterprise 8,2023-11-17
76791,manager,file-server-86,internal.net,145.101.90.2,сервер,Ubuntu 20.04,2023-11-15
55378,consultant,web-server-29,business.org,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-15
56044,dbadmin,proxy-server-41,business.org,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-15
66433,manager,web-server-42,example.com,145.101.90.5,брандмауэр,Red Hat Enterprise 8,2023-11-20
59543,consultant,db-server-98,mycompany.ru,145.101.90.6,сервер,Ubuntu 20.04,2023-11-17
10811,tester,web-server-76,example.com,145.101.90.6,сервер,Red Hat Enterprise 8,2023-11-14
42821,user123,proxy-server-71,services.io,145.101.90.2,брандмауэр,Windows 10 Pro,2023-11-17
25865,analyst,data-server-29,networking.net,145.101.90.1,маршрутизатор,Ubuntu 20.04,2023-11-15
16944,user123,dev-server-80,business.org,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-16
66267,tester,web-server-97,example.com,145.101.90.1,переключатель,Windows 10 Pro,2023-11-06
99588,guest,file-server-18,internal.net,145.101.90.3,рабочая станция,Red Hat Enterprise 8,2023-11-16
42663,operator,db-server-98,example.com,145.101.90.2,сервер,Red Hat Enterprise 8,2023-11-14
60161,operator,web-server-23,example.com,145.101.90.2,маршрутизатор,Windows 10 Pro,2023-11-20
47190,tester,db-server-38,example.com,145.101.90.1,брандмауэр,Cisco IOS,2023-11-17
95378,operator,mail-server-58,example.com,145.101.90.4,брандмауэр,Windows 10 Pro,2023-11-14
41240,user123,db-server-76,example.com,145.101.90.1,сервер,Ubuntu 20.04,2023-11-15
94404,dbadmin,proxy-server-67,networking.net,145.101.90.1,рабочая станция,Windows 10 Pro,2023-11-18
23516,user123,mail-server-75,internal.net,145.101.90.8,сервер,Cisco IOS,2023-11-15
96882,user123,mail-server-84,mycompany.ru,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-16
77785,manager,web-server-82,example.com,145.101.90.3,переключатель,Red Hat Enterprise 8,2023-11-14
27659,dbadmin,web-server-61,example.com,145.101.90.3,брандмауэр,Ubuntu 20.04,2023-11-15
87352,consultant,data-server-46,business.org,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-16
30462,user123,mail-server-48,example.com,145.101.90.6,брандмауэр,Windows 10 Pro,2023-11-13
14634,user123,app-server-32,mycompany.ru,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-17
55225,user123,web-server-5,mycompany.ru,145.101.90.1,маршрутизатор,Cisco IOS,2023-11-17
30097,user123,mail-server-29,business.org,145.101.90.3,маршрутизатор,Cisco IOS,2023-11-16
57851,dbadmin,data-server-70,internal.net,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-14
36547,developer,proxy-server-70,networking.net,145.101.90.6,переключатель,Ubuntu 20.04,2023-11-18
45631,user123,data-server-48,mycompany.ru,145.101.90.3,сервер,Red Hat Enterprise 8,2023-11-16
63069,user123,mail-server-82,example.com,145.101.90.2,маршрутизатор,Windows 10 Pro,2023-11-19
57082,user123,web-server-97,example.com,145.101.90.3,маршрутизатор,Red Hat Enterprise 8,2023-11-17
81834,operator,dev-server-1,example.com,145.101.90.7,сервер,Red Hat Enterprise 8,2023-11-18
70240,user123,data-server-75,example.com,145.101.90.3,маршрутизатор,Ubuntu 20.04,2023-11-21
55561,dbadmin,db-server-10,mycompany.ru,145.101.90.6,брандмауэр,Ubuntu 20.04,2023-11-13
21263,user123,file-server-35,example.com,145.101.90.4,сервер,Ubuntu 20.04,2023-11-17
33102,operator,db-server-27,mycompany.ru,145.101.90.3,сервер,Ubuntu 20.04,2023-11-16
72594,dbadmin,backup-server-48,internal.net,145.101.90.2,брандмауэр,Red Hat Enterprise 8,2023-11-17
56731,consultant,web-server-76,example.com,145.101.90.7,маршрутизатор,Red Hat Enterprise 8,2023-11-20
37463,operator,web-server-2,example.com,145.101.90.1,маршрутизатор,Windows 10 Pro,2023-11-16
48951,user123,web-server-15,example.com,145.101.90.1,сервер,Red Hat Enterprise 8,2023-11-04
30479,operator,data-server-78,example.com,145.101.90.5,маршрутизатор,Cisco IOS,2023-10-27
19482,dbadmin,dev-server-83,example.com,145.101.90.3,переключатель,Cisco IOS,2023-11-16
18905,admin,data-server-77,example.com,145.101.90.3,брандмауэр,Windows 10 Pro,2023-11-17
62025,user123,db-server-95,internal.net,145.101.90.1,маршрутизатор,Red Hat Enterprise 8,2023-11-14
37053,operator,proxy-server-69,business.org,145.101.90.3,маршрутизатор,Cisco IOS,2023-11-20
29400,user123,data-server-59,example.com,145.101.90.9,сервер,Red Hat Enterprise 8,2023-11-19
76629,operator,db-server-61,clouding.space,145.101.90.3,переключатель,Red Hat Enterprise 8,2023-11-16
14607,dbadmin,mail-server-40,example.com,145.101.90.2,сервер,Red Hat Enterprise 8,2023-11-16
20628,operator,web-server-88,mycompany.ru,145.101.90.4,маршрутизатор,Ubuntu 20.04,2023-11-03
72306,admin,db-server-97,clouding.space,145.101.90.3,сервер,Windows 10 Pro,2023-11-18
29080,user123,proxy-server-59,example.com,145.101.90.4,брандмауэр,Ubuntu 20.04,2023-11-17
20074,user123,web-server-68,clouding.space,145.101.90.3,сервер,Cisco IOS,2023-11-18
87842,developer,proxy-server-12,internal.net,145.101.90.4,брандмауэр,Red Hat Enterprise 8,2023-11-16
92387,user123,db-server-11,clouding.space,145.101.90.6,маршрутизатор,Cisco IOS,2023-11-18
86373,user123,db-server-39,internal.net,145.101.90.3,брандмауэр,Ubuntu 20.04,2023-11-15
14627,user123,db-server-94,internal.net,145.101.90.3,переключатель,Windows 10 Pro,2023-11-15
13139,user123,dev-server-17,internal.net,145.101.90.2,сервер,Ubuntu 20.04,2023-11-17
47643,analyst,mail-server-47,networking.net,145.101.90.3,переключатель,Red Hat Enterprise 8,2023-11-17
84275,user123,db-server-98,business.org,145.101.90.3,брандмауэр,Cisco IOS,2023-11-14
11588,user123,app-server-38,clouding.space,145.101.90.3,сервер,Cisco IOS,2023-11-17
34276,consultant,web-server-35,services.io,145.101.90.1,переключатель,Red Hat Enterprise 8,2023-11-16
14888,dbadmin,proxy-server-45,clouding.space,145.101.90.5,сервер,Ubuntu 20.04,2023-11-18
